MedianRooms,MedianAge,Households,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,WindSpeed,Desempleo,Ti,pca1,pca2,MedianPrice
5.2,48.6,8051,25282,24061,1103.684,36.436305,1111.801,8.117,48,174,4.6,7,4.8,78.24793886232729,0.3197623472866038,-0.24740107077665216,158200
5.2,45.4,4413,24036,24043,639.952,36.072894,640.319,0.367,48,173,5.1,6,5.1,78.83749195681705,0.3736745530265943,-0.32877921250070624,151800
5.3,46.5,13244,28077,24075,2142.418,35.482313,2481.766,339.348,41,194,4.6,7,5.4,72.92104022963883,-0.08401419978926151,-0.01183626290412587,138000
5.4,46.2,4714,22245,18611,1811.1,36.06133,1919.826,108.725,42,198,3.8,7,5.8,69.30962224613467,-0.09083736320019253,-0.1436549893552349,78500
5.5,44.8,8631,24752,24948,2264.499,34.591949,2297.729,33.23,40,199,4.5,7,6.2,73.20425116051796,-0.21953233831954305,-0.11649534531644679,98700
5.2,54.7,41251,34528,33045,2193.65,34.038708,2719.031,525.381,41,193,5.3,9,6.9,80.47834471027298,-0.2677674937765704,0.2000050419963156,220400
5.5,42.3,60615,33835,34258,1700.773,35.609371,1709.757,8.985,43,195,4.6,5,5.1,66.27700831024931,0.09299952122993892,0.14112022780090808,250600
5.2,44.3,23459,25053,26421,1313.381,35.746182,1334.039,20.658,40,207,5.0,5,5.3,75.66256236554217,-0.026473246586712795,-0.1762841164604469,120600
5.8,38.0,53261,33548,40799,936.925,35.387845,943.958,7.033,43,196,4.9,6,5.1,73.77340596390394,-0.09551426835477007,0.18061398304617485,219100
5.3,45.1,22563,24666,25349,1221.35,35.957857,1228.465,7.116,40,207,5.0,5,6.0,72.78592664783311,-0.0179072977145642,-0.1755237163421444,125200
6.2,41.8,3183,28596,33114,623.038,36.342344,803.45,180.412,40,204,4.6,9,4.8,80.64971751412429,-0.016893864256944877,0.04654620598037397,221000
5.4,49.2,19265,34038,31021,1311.185,34.858313,3472.204,2161.018,39,195,4.4,11,4.9,72.79744086400189,-0.16862124482324797,0.22783931802644583,226700
5.5,46.2,6186,24121,21169,1100.542,36.393097,1109.167,8.625,40,206,4.4,6,6.1,77.22103104316211,-0.10517838552980496,-0.1311976633112552,113600
5.5,41.6,42898,29364,29164,1032.684,35.663182,1070.741,38.057,41,201,4.9,5,5.4,70.55069935675853,-0.01668481094991381,-0.02002507458066913,156200
6.2,47.3,20719,45036,35787,1766.852,35.704994,1838.455,71.603,41,203,4.4,6,4.2,77.59217706861686,-0.0177065959852369,0.22641597823999582,310000
5.2,52.1,8167,24024,25593,1179.547,35.136233,1208.81,29.263,49,167,6.8,5,5.9,80.70225623055745,0.15673704189840504,-0.3992222800860991,163900
5.5,46.2,4137,27254,30649,446.702,36.127288,604.239,157.536,42,195,4.4,8,5.5,66.25118448866536,-0.02822483803521813,-0.11600095152407813,139500
5.3,53.6,3171,32744,26685,556.201,35.052997,571.425,15.224,48,170,7.0,5,6.0,74.29961264750924,0.24009584077091994,-0.380687820523979,197600
5.6,41.9,24337,23061,23240,1202.408,35.33463,1212.765,10.356,42,197,5.3,6,6.2,67.69277246494573,-0.043187726625926764,-0.1675522665839551,130000
5.5,41.9,14313,22426,20971,2427.578,34.260471,2469.916,42.338,39,202,4.2,7,7.0,72.0970833254265,-0.23317719324458352,-0.09434187141815438,94800
5.7,37.6,26906,29908,31300,1836.192,35.118179,2005.068,168.877,41,193,4.1,6,5.5,64.29528403001072,-0.1007370293595873,0.07208162914596443,161200
5.5,31.4,79010,25648,32355,1689.488,35.050192,1705.163,15.675,41,198,4.5,7,7.6,53.29315337238146,-0.2404791194394731,0.2061117657366382,139700
6.5,43.0,7706,34726,40719,678.194,36.372174,1363.868,685.674,40,204,4.6,9,4.7,85.05738642654168,0.03374652601473323,0.1860460260721567,263400
5.2,47.5,10284,36532,40537,993.052,35.606269,4047.022,3053.97,40,196,4.5,12,6.9,76.57302447839658,-0.05922391497636146,0.2732996833185485,297200
5.5,42.5,46889,26616,27765,1431.421,35.795123,1468.57,37.149,41,199,4.7,6,5.3,72.28820701237441,-0.022076697883326175,0.006619021582699482,149500
6.1,45.8,11448,32638,38020,684.029,35.929356,691.756,7.727,42,202,4.7,6,4.8,79.52854773750296,0.03403623455418657,-0.04172556167060631,177100
